cluster,feature,cluster_mean,other_mean,importance
0,txt_dim_17,-0.4667896076320009,1.4041106233579828,1.8709002309899836
0,txt_dim_18,-0.4664732415254999,1.403158989037626,1.8696322305631259
0,txt_dim_14,-0.4658162227024169,1.4011826658844249,1.8669988885868418
0,txt_dim_13,-0.46573839622198204,1.4009485625835572,1.8666869588055393
0,txt_dim_16,-0.46538771716483585,1.3998937143575523,1.865281431522388
0,txt_dim_11,-0.46450919348666975,1.3972511010490807,1.8617602945357503
0,txt_dim_10,0.4634640022781735,-1.3941071491373518,1.8575711514155253
0,txt_dim_08,0.4633924918823678,-1.3938920447203087,1.8572845366026765
0,txt_dim_19,0.4620939866651092,-1.3899861202090757,1.852080106874185
0,txt_dim_15,0.45416146458676415,-1.3661249666227118,1.820286431209476
0,review_count,0.3547048473335019,-1.0669578674300326,1.4216627147635346
0,txt_dim_12,-0.20741992994591252,0.6239224746469232,0.8313424045928357
0,txt_dim_07,0.04481766579526236,-0.13481225723184112,0.17962992302710348
0,rating_std,0.03205756671022868,-0.09642967461333368,0.12848724132356237
0,txt_dim_04,-0.0300791179307702,0.09047846896610424,0.12055758689687444
0,brand_tier_numeric,0.02768420164259968,-0.08327452237583646,0.11095872401843615
0,refillable_flag,-0.025650735771682465,0.07715782443546178,0.10280856020714424
0,txt_dim_05,-0.0233914187272393,0.07036176254426096,0.09375318127150026
0,txt_dim_06,0.02004099217236744,-0.0602836257529529,0.08032461792532034
0,eco_badge_count,-0.018774378165037908,0.056473630512468675,0.07524800867750658
0,size_ml_or_g,-0.01785597911295703,0.05371107143997693,0.07156705055293396
0,txt_dim_01,-0.017381606746854364,0.052284151757572,0.06966575850442636
0,txt_dim_09,-0.017349725336811124,0.052188251965037076,0.0695379773018482
0,price_value,-0.016462931635855958,0.0495207622954309,0.06598369393128686
0,txt_dim_02,-0.013129710849954275,0.03949438073302888,0.05262409158298316
0,newness_proxy,-0.012926723282887506,0.03888379087698256,0.051810514159870064
0,refill_shelf_share,-0.011313478786393459,0.03403112556788915,0.04534460435428261
0,helpful_avg,-0.009948646031132569,0.02992568675897575,0.03987433279010832
0,price_per_unit,0.009362017132377158,-0.02816109762664964,0.037523114759026796
0,txt_dim_00,0.0065234020221125715,-0.01962249786611405,0.026145899888226624
0,z_price_in_category,-0.004946192392675199,0.014878226014840786,0.019824418407515986
0,verified_share,0.0039314326758009424,-0.011825812517792465,0.015757245193593408
0,txt_dim_03,-0.003352257374349849,0.010083643925649526,0.013435901299999374
0,avg_rating,0.003188555586737279,-0.009591226324037942,0.012779781910775221
0,is_luxury,-0.0013085898496229774,0.0039362592470627115,0.005244849096685689
0,french_ratio,0.0,0.0,0.0
0,availability_rate,0.0,0.0,0.0
1,txt_dim_17,1.4041106233579828,-0.4667896076320009,1.8709002309899836
1,txt_dim_18,1.403158989037626,-0.4664732415254999,1.8696322305631259
1,txt_dim_14,1.4011826658844249,-0.4658162227024169,1.8669988885868418
1,txt_dim_13,1.4009485625835572,-0.46573839622198204,1.8666869588055393
1,txt_dim_16,1.3998937143575523,-0.46538771716483585,1.865281431522388
1,txt_dim_11,1.3972511010490807,-0.46450919348666975,1.8617602945357503
1,txt_dim_10,-1.3941071491373518,0.4634640022781735,1.8575711514155253
1,txt_dim_08,-1.3938920447203087,0.4633924918823678,1.8572845366026765
1,txt_dim_19,-1.3899861202090757,0.4620939866651092,1.852080106874185
1,txt_dim_15,-1.3661249666227118,0.45416146458676415,1.820286431209476
1,review_count,-1.0669578674300326,0.3547048473335019,1.4216627147635346
1,txt_dim_12,0.6239224746469232,-0.20741992994591252,0.8313424045928357
1,txt_dim_07,-0.13481225723184112,0.04481766579526236,0.17962992302710348
1,rating_std,-0.09642967461333368,0.03205756671022868,0.12848724132356237
1,txt_dim_04,0.09047846896610424,-0.0300791179307702,0.12055758689687444
1,brand_tier_numeric,-0.08327452237583646,0.02768420164259968,0.11095872401843615
1,refillable_flag,0.07715782443546178,-0.025650735771682465,0.10280856020714424
1,txt_dim_05,0.07036176254426096,-0.0233914187272393,0.09375318127150026
1,txt_dim_06,-0.0602836257529529,0.02004099217236744,0.08032461792532034
1,eco_badge_count,0.056473630512468675,-0.018774378165037908,0.07524800867750658
1,size_ml_or_g,0.05371107143997693,-0.01785597911295703,0.07156705055293396
1,txt_dim_01,0.052284151757572,-0.017381606746854364,0.06966575850442636
1,txt_dim_09,0.052188251965037076,-0.017349725336811124,0.0695379773018482
1,price_value,0.0495207622954309,-0.016462931635855958,0.06598369393128686
1,txt_dim_02,0.03949438073302888,-0.013129710849954275,0.05262409158298316
1,newness_proxy,0.03888379087698256,-0.012926723282887506,0.051810514159870064
1,refill_shelf_share,0.03403112556788915,-0.011313478786393459,0.04534460435428261
1,helpful_avg,0.02992568675897575,-0.009948646031132569,0.03987433279010832
1,price_per_unit,-0.02816109762664964,0.009362017132377158,0.037523114759026796
1,txt_dim_00,-0.01962249786611405,0.0065234020221125715,0.026145899888226624
1,z_price_in_category,0.014878226014840786,-0.004946192392675199,0.019824418407515986
1,verified_share,-0.011825812517792465,0.0039314326758009424,0.015757245193593408
1,txt_dim_03,0.010083643925649526,-0.003352257374349849,0.013435901299999374
1,avg_rating,-0.009591226324037942,0.003188555586737279,0.012779781910775221
1,is_luxury,0.0039362592470627115,-0.0013085898496229774,0.005244849096685689
1,french_ratio,0.0,0.0,0.0
1,availability_rate,0.0,0.0,0.0
